,train_loss,val_loss,lr,mask_val_loss,regr_val_loss
86,18.266905,-1.0,0.001,-1.0,-1.0
87,22.963253,-1.0,0.001,-1.0,-1.0
88,16.826088,-1.0,0.001,-1.0,-1.0
89,16.273336,-1.0,0.001,-1.0,-1.0
90,14.82087,-1.0,0.001,-1.0,-1.0
91,14.701038,-1.0,0.001,-1.0,-1.0
92,17.555023,-1.0,0.001,-1.0,-1.0
93,15.130029,-1.0,0.001,-1.0,-1.0
94,13.955636,-1.0,0.001,-1.0,-1.0
95,14.7173605,-1.0,0.001,-1.0,-1.0
96,16.181728,-1.0,0.001,-1.0,-1.0
97,14.503953,-1.0,0.001,-1.0,-1.0
98,14.493964,-1.0,0.001,-1.0,-1.0
99,15.269955,-1.0,0.001,-1.0,-1.0
100,18.917158,-1.0,0.001,-1.0,-1.0
101,18.8717,-1.0,0.001,-1.0,-1.0
102,13.981736,-1.0,0.001,-1.0,-1.0
103,17.77139,-1.0,0.001,-1.0,-1.0
104,18.465818,-1.0,0.001,-1.0,-1.0
105,14.877573,-1.0,0.001,-1.0,-1.0
106,16.57202,-1.0,0.001,-1.0,-1.0
107,13.481822,-1.0,0.001,-1.0,-1.0
108,12.27286,-1.0,0.001,-1.0,-1.0
109,13.056645,-1.0,0.001,-1.0,-1.0
110,12.620908,-1.0,0.001,-1.0,-1.0
111,14.232447,-1.0,0.001,-1.0,-1.0
112,13.422819,-1.0,0.001,-1.0,-1.0
113,12.779181,-1.0,0.001,-1.0,-1.0
114,16.988264,-1.0,0.001,-1.0,-1.0
115,13.323281,-1.0,0.001,-1.0,-1.0
116,11.977756,-1.0,0.001,-1.0,-1.0
117,12.710275,-1.0,0.001,-1.0,-1.0
118,12.509537,-1.0,0.001,-1.0,-1.0
119,17.42946,-1.0,0.001,-1.0,-1.0
120,13.283529,-1.0,0.001,-1.0,-1.0
121,13.222196,-1.0,0.001,-1.0,-1.0
122,13.979055,-1.0,0.001,-1.0,-1.0
123,14.080133,-1.0,0.001,-1.0,-1.0
