train_loss,val_loss,lr,mask_val_loss,regr_val_loss
11.508776,-1.0,0.001,-1.0,-1.0
8.936196,-1.0,0.001,-1.0,-1.0
9.449173,-1.0,0.001,-1.0,-1.0
8.956966,-1.0,0.001,-1.0,-1.0
11.268853,-1.0,0.001,-1.0,-1.0
9.1665325,-1.0,0.001,-1.0,-1.0
10.363236,-1.0,0.001,-1.0,-1.0
11.007647,-1.0,0.001,-1.0,-1.0
10.227013,-1.0,0.001,-1.0,-1.0
10.024601,-1.0,0.001,-1.0,-1.0
10.036656,-1.0,0.001,-1.0,-1.0
8.591402,-1.0,0.001,-1.0,-1.0
11.3344145,-1.0,0.001,-1.0,-1.0
12.018297,-1.0,0.001,-1.0,-1.0
7.971123,-1.0,0.001,-1.0,-1.0
8.179066,-1.0,0.001,-1.0,-1.0
7.7176976,-1.0,0.001,-1.0,-1.0
8.199342,-1.0,0.001,-1.0,-1.0
12.768208,-1.0,0.001,-1.0,-1.0
9.341552,-1.0,0.001,-1.0,-1.0
10.80319,-1.0,0.001,-1.0,-1.0
10.769544,-1.0,0.001,-1.0,-1.0
9.046836,-1.0,0.001,-1.0,-1.0
10.32072,-1.0,0.001,-1.0,-1.0
8.6906,-1.0,0.001,-1.0,-1.0
7.871466,-1.0,0.001,-1.0,-1.0
8.579706,-1.0,0.001,-1.0,-1.0
6.8931518,-1.0,0.001,-1.0,-1.0
8.524033,-1.0,0.001,-1.0,-1.0
7.177012,-1.0,0.001,-1.0,-1.0
9.819081,-1.0,0.001,-1.0,-1.0
10.641941,-1.0,0.001,-1.0,-1.0
6.2657886,-1.0,0.001,-1.0,-1.0
9.367728,-1.0,0.001,-1.0,-1.0
5.7426386,-1.0,0.001,-1.0,-1.0
8.977644,-1.0,0.001,-1.0,-1.0
8.440742,-1.0,0.001,-1.0,-1.0
6.908443,-1.0,0.001,-1.0,-1.0
9.008509,-1.0,0.001,-1.0,-1.0
6.4358897,-1.0,0.001,-1.0,-1.0
9.187187,-1.0,0.001,-1.0,-1.0
11.163919,-1.0,0.001,-1.0,-1.0
6.188973,-1.0,0.001,-1.0,-1.0
7.1640825,-1.0,0.001,-1.0,-1.0
6.977928,-1.0,0.001,-1.0,-1.0
8.876556,-1.0,0.001,-1.0,-1.0
8.787218,-1.0,0.001,-1.0,-1.0
8.328614,-1.0,0.001,-1.0,-1.0
9.055489,-1.0,0.001,-1.0,-1.0
8.436221,-1.0,0.001,-1.0,-1.0
10.083366,-1.0,0.001,-1.0,-1.0
8.953039,-1.0,0.001,-1.0,-1.0
8.942425,-1.0,0.001,-1.0,-1.0
5.659348,-1.0,0.001,-1.0,-1.0
6.6152186,-1.0,0.001,-1.0,-1.0
9.103993,-1.0,0.001,-1.0,-1.0
7.380295,-1.0,0.001,-1.0,-1.0
6.204907,-1.0,0.001,-1.0,-1.0
8.712761,-1.0,0.001,-1.0,-1.0
10.388051,-1.0,0.001,-1.0,-1.0
10.795785,-1.0,0.001,-1.0,-1.0
6.4690256,-1.0,0.001,-1.0,-1.0
7.654351,-1.0,0.001,-1.0,-1.0
9.480808,-1.0,0.001,-1.0,-1.0
7.505785,-1.0,0.001,-1.0,-1.0
8.555746,-1.0,0.001,-1.0,-1.0
9.366548,-1.0,0.001,-1.0,-1.0
9.225416,-1.0,0.001,-1.0,-1.0
9.407734,-1.0,0.001,-1.0,-1.0
8.777869,-1.0,0.001,-1.0,-1.0
11.970604,-1.0,0.001,-1.0,-1.0
9.551305,-1.0,0.001,-1.0,-1.0
6.8749933,-1.0,0.001,-1.0,-1.0
6.316311,-1.0,0.001,-1.0,-1.0
8.831732,-1.0,0.001,-1.0,-1.0
7.668854,-1.0,0.001,-1.0,-1.0
11.474941,-1.0,0.001,-1.0,-1.0
6.5227947,-1.0,0.001,-1.0,-1.0
11.069734,-1.0,0.001,-1.0,-1.0
6.7569275,-1.0,0.001,-1.0,-1.0
6.7930455,-1.0,0.001,-1.0,-1.0
8.564056,-1.0,0.001,-1.0,-1.0
6.0156436,-1.0,0.001,-1.0,-1.0
7.1354847,-1.0,0.001,-1.0,-1.0
7.9647217,-1.0,0.001,-1.0,-1.0
8.935249,-1.0,0.001,-1.0,-1.0
7.6337657,-1.0,0.001,-1.0,-1.0
7.1029196,-1.0,0.001,-1.0,-1.0
6.4983444,-1.0,0.001,-1.0,-1.0
9.032727,-1.0,0.001,-1.0,-1.0
6.7792296,-1.0,0.001,-1.0,-1.0
6.356183,-1.0,0.001,-1.0,-1.0
