,train_loss,val_loss,lr,mask_val_loss,regr_val_loss
181,7.728659,-1.0,0.001,-1.0,-1.0
182,7.1469407,-1.0,0.001,-1.0,-1.0
183,6.854273,-1.0,0.001,-1.0,-1.0
184,7.942522,-1.0,0.001,-1.0,-1.0
185,8.022741,-1.0,0.001,-1.0,-1.0
186,8.545717,-1.0,0.001,-1.0,-1.0
187,7.5051775,-1.0,0.001,-1.0,-1.0
188,5.858513,-1.0,0.001,-1.0,-1.0
189,6.934425,-1.0,0.001,-1.0,-1.0
190,11.334622,-1.0,0.001,-1.0,-1.0
191,8.114893,-1.0,0.001,-1.0,-1.0
192,9.178866,-1.0,0.001,-1.0,-1.0
193,7.3215404,-1.0,0.001,-1.0,-1.0
194,8.988195,-1.0,0.001,-1.0,-1.0
195,7.649732,-1.0,0.001,-1.0,-1.0
196,8.064857,-1.0,0.001,-1.0,-1.0
197,8.001656,-1.0,0.001,-1.0,-1.0
198,8.687929,-1.0,0.001,-1.0,-1.0
199,10.344249,-1.0,0.001,-1.0,-1.0
200,7.423518,-1.0,0.001,-1.0,-1.0
201,7.4270325,-1.0,0.001,-1.0,-1.0
202,8.727006,-1.0,0.001,-1.0,-1.0
203,6.3197045,-1.0,0.001,-1.0,-1.0
204,7.765207,-1.0,0.001,-1.0,-1.0
205,9.775058,-1.0,0.001,-1.0,-1.0
206,9.111721,-1.0,0.001,-1.0,-1.0
207,8.492016,-1.0,0.001,-1.0,-1.0
208,10.588518,-1.0,0.001,-1.0,-1.0
209,8.868247,-1.0,0.001,-1.0,-1.0
210,6.9245872,-1.0,0.001,-1.0,-1.0
211,7.781265,-1.0,0.001,-1.0,-1.0
212,6.3306875,-1.0,0.001,-1.0,-1.0
213,7.5717115,-1.0,0.001,-1.0,-1.0
214,6.631145,-1.0,0.001,-1.0,-1.0
215,9.227141,-1.0,0.001,-1.0,-1.0
216,8.580624,-1.0,0.001,-1.0,-1.0
217,7.4402637,-1.0,0.001,-1.0,-1.0
218,5.7737813,-1.0,0.001,-1.0,-1.0
219,5.6036096,-1.0,0.001,-1.0,-1.0
220,6.454978,-1.0,0.001,-1.0,-1.0
221,6.838685,-1.0,0.001,-1.0,-1.0
222,7.1103244,-1.0,0.001,-1.0,-1.0
223,8.279405,-1.0,0.001,-1.0,-1.0
224,6.808626,-1.0,0.001,-1.0,-1.0
225,5.3075194,-1.0,0.001,-1.0,-1.0
226,7.9397197,-1.0,0.001,-1.0,-1.0
227,7.7274246,-1.0,0.001,-1.0,-1.0
228,7.0470476,-1.0,0.001,-1.0,-1.0
229,7.135283,-1.0,0.001,-1.0,-1.0
230,7.4011626,-1.0,0.001,-1.0,-1.0
231,5.7322216,-1.0,0.001,-1.0,-1.0
232,6.527522,-1.0,0.001,-1.0,-1.0
233,7.487011,-1.0,0.001,-1.0,-1.0
234,5.340024,-1.0,0.001,-1.0,-1.0
235,6.3730273,-1.0,0.001,-1.0,-1.0
236,7.7062187,-1.0,0.001,-1.0,-1.0
237,6.84224,-1.0,0.001,-1.0,-1.0
238,7.034571,-1.0,0.001,-1.0,-1.0
239,4.7395067,-1.0,0.001,-1.0,-1.0
240,7.0281835,-1.0,0.001,-1.0,-1.0
241,6.740234,-1.0,0.001,-1.0,-1.0
242,6.3626175,-1.0,0.001,-1.0,-1.0
243,5.420807,-1.0,0.001,-1.0,-1.0
244,6.595988,-1.0,0.001,-1.0,-1.0
245,8.798428,-1.0,0.001,-1.0,-1.0
246,9.603073,-1.0,0.001,-1.0,-1.0
247,7.3558884,-1.0,0.001,-1.0,-1.0
248,7.255211,-1.0,0.001,-1.0,-1.0
249,6.1691885,-1.0,0.001,-1.0,-1.0
250,6.340017,-1.0,0.001,-1.0,-1.0
251,7.2696533,-1.0,0.001,-1.0,-1.0
252,8.412984,-1.0,0.001,-1.0,-1.0
253,6.414524,-1.0,0.001,-1.0,-1.0
254,5.0761085,-1.0,0.001,-1.0,-1.0
255,5.458025,-1.0,0.001,-1.0,-1.0
256,8.930125,-1.0,0.001,-1.0,-1.0
257,6.4679055,-1.0,0.001,-1.0,-1.0
258,7.759161,-1.0,0.001,-1.0,-1.0
259,6.067851,-1.0,0.001,-1.0,-1.0
260,5.080389,-1.0,0.001,-1.0,-1.0
261,6.9989204,-1.0,0.001,-1.0,-1.0
262,5.928198,-1.0,0.001,-1.0,-1.0
263,6.834139,-1.0,0.001,-1.0,-1.0
264,6.804089,-1.0,0.001,-1.0,-1.0
265,6.6419234,-1.0,0.001,-1.0,-1.0
266,5.807843,-1.0,0.001,-1.0,-1.0
267,6.722905,-1.0,0.001,-1.0,-1.0
268,6.7595186,-1.0,0.001,-1.0,-1.0
269,8.449164,-1.0,0.001,-1.0,-1.0
270,7.8809695,-1.0,0.001,-1.0,-1.0
271,6.311408,-1.0,0.001,-1.0,-1.0
