train_loss,val_loss,lr,mask_val_loss,regr_val_loss
15.770774,-1.0,0.001,-1.0,-1.0
13.814628,-1.0,0.001,-1.0,-1.0
13.391165,-1.0,0.001,-1.0,-1.0
10.163166,-1.0,0.001,-1.0,-1.0
11.568955,-1.0,0.001,-1.0,-1.0
9.686272,-1.0,0.001,-1.0,-1.0
10.603207,-1.0,0.001,-1.0,-1.0
10.4703665,-1.0,0.001,-1.0,-1.0
11.146484,-1.0,0.001,-1.0,-1.0
11.745321,-1.0,0.001,-1.0,-1.0
11.481484,-1.0,0.001,-1.0,-1.0
9.741978,-1.0,0.001,-1.0,-1.0
11.842346,-1.0,0.001,-1.0,-1.0
11.157967,-1.0,0.001,-1.0,-1.0
12.556866,-1.0,0.001,-1.0,-1.0
11.22019,-1.0,0.001,-1.0,-1.0
10.936239,-1.0,0.001,-1.0,-1.0
11.437322,-1.0,0.001,-1.0,-1.0
10.334767,-1.0,0.001,-1.0,-1.0
14.4811535,-1.0,0.001,-1.0,-1.0
11.96326,-1.0,0.001,-1.0,-1.0
10.520827,-1.0,0.001,-1.0,-1.0
10.511339,-1.0,0.001,-1.0,-1.0
10.243228,-1.0,0.001,-1.0,-1.0
8.380114,-1.0,0.001,-1.0,-1.0
10.147239,-1.0,0.001,-1.0,-1.0
10.121059,-1.0,0.001,-1.0,-1.0
10.514903,-1.0,0.001,-1.0,-1.0
9.729748,-1.0,0.001,-1.0,-1.0
10.656232,-1.0,0.001,-1.0,-1.0
9.001221,-1.0,0.001,-1.0,-1.0
7.906778,-1.0,0.001,-1.0,-1.0
9.212082,-1.0,0.001,-1.0,-1.0
9.8991375,-1.0,0.001,-1.0,-1.0
8.892929,-1.0,0.001,-1.0,-1.0
10.156193,-1.0,0.001,-1.0,-1.0
9.986883,-1.0,0.001,-1.0,-1.0
7.9190784,-1.0,0.001,-1.0,-1.0
9.77619,-1.0,0.001,-1.0,-1.0
10.499656,-1.0,0.001,-1.0,-1.0
9.492299,-1.0,0.001,-1.0,-1.0
8.274409,-1.0,0.001,-1.0,-1.0
9.599279,-1.0,0.001,-1.0,-1.0
11.3579,-1.0,0.001,-1.0,-1.0
8.2850485,-1.0,0.001,-1.0,-1.0
9.325394,-1.0,0.001,-1.0,-1.0
8.198391,-1.0,0.001,-1.0,-1.0
11.656838,-1.0,0.001,-1.0,-1.0
8.832277,-1.0,0.001,-1.0,-1.0
9.237752,-1.0,0.001,-1.0,-1.0
9.503608,-1.0,0.001,-1.0,-1.0
9.886182,-1.0,0.001,-1.0,-1.0
9.124071,-1.0,0.001,-1.0,-1.0
8.30658,-1.0,0.001,-1.0,-1.0
8.852221,-1.0,0.001,-1.0,-1.0
7.577984,-1.0,0.001,-1.0,-1.0
9.673365,-1.0,0.001,-1.0,-1.0
12.003319,-1.0,0.001,-1.0,-1.0
9.529555,-1.0,0.001,-1.0,-1.0
9.060688,-1.0,0.001,-1.0,-1.0
8.371389,-1.0,0.001,-1.0,-1.0
10.701965,-1.0,0.001,-1.0,-1.0
